Type,Date,Open,High,Low,Close,Adj Close,Volume
Amazon,2023/1/11,90.93,95.260002,90.93,95.089996,95.089996,103126200
Amazon,2023/1/12,96.93,97.190002,93.5,95.269997,95.269997,85254800
Amazon,2023/1/13,94.18,98.370003,94.120003,98.120003,98.120003,85413600
Amazon,2023/1/17,98.68,98.889999,95.730003,96.050003,96.050003,72755000
Amazon,2023/1/18,97.25,99.32,95.379997,95.459999,95.459999,79570400
Amazon,2023/1/19,94.739998,95.440002,92.860001,93.68,93.68,69002700
Amazon,2023/1/20,93.860001,97.349998,93.199997,97.25,97.25,67307100
Amazon,2023/1/23,97.559998,97.779999,95.860001,97.519997,97.519997,76501100
Amazon,2023/1/24,96.93,98.089996,96,96.32,96.32,66929500
Amazon,2023/1/25,92.559998,97.239998,91.519997,97.18,97.18,94261600
Amazon,2023/1/26,98.239998,99.489998,96.919998,99.220001,99.220001,68523600
Amazon,2023/1/27,99.529999,103.489998,99.529999,102.239998,102.239998,87678100
Amazon,2023/1/30,101.089996,101.739998,99.010002,100.550003,100.550003,70691900
Amazon,2023/1/31,101.160004,103.349998,101.139999,103.129997,103.129997,66527300
Amazon,2023/2/1,102.529999,106.239998,101.239998,105.150002,105.150002,80450100
Amazon,2023/2/2,110.25,114,108.879997,112.910004,112.910004,158154200
Amazon,2023/2/3,105.260002,108.779999,102.519997,103.389999,103.389999,144173400
Amazon,2023/2/6,102.93,103.949997,100.650002,102.18,102.18,81945200
Amazon,2023/2/7,101.169998,102.410004,98.080002,102.110001,102.110001,119501300
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
